annee,Num_Acc,hrmn,heure,saison,lum,motif
2005,200500000127,645,6,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000165,1330,13,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500000246,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000248,1030,10,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500000292,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000293,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000312,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000322,2215,22,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000372,1830,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000383,1630,16,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500000386,1130,11,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500000391,1400,14,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500000402,2200,22,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000490,1830,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000603,1545,15,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500000625,1615,16,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500000746,2300,23,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000763,1115,11,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500000788,1500,15,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500000825,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000830,1515,15,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500000857,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000872,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000873,715,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000941,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500000978,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001035,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001069,1515,15,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500001079,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001137,1615,16,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001153,1200,12,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001181,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001205,1645,16,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500001212,1415,14,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001231,130,1,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001248,1400,14,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001261,1500,15,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
2005,200500001278,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001286,1600,16,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001303,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001310,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001368,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001397,1615,16,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001401,700,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001425,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001429,1815,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001470,730,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001478,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001486,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001502,1800,18,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001540,1445,14,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001545,745,7,hiver,1 - Plein jour,Plein jour déclaré mais heure nocturne
2005,200500001553,1545,15,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001567,1500,15,hiver,3 - Nuit sans éclairage public,Nuit déclarée mais heure en pleine journée
2005,200500001574,1000,10,hiver,5 - Nuit avec éclairage public allumé,Nuit déclarée mais heure en pleine journée
