annee,Num_Acc,num_veh,obsm,choc
2005,200500000004,B02,2 - Véhicule,0 - Aucun
2005,200500000050,A01,4 - Véhicule sur rail,0 - Aucun
2005,200500000255,B02,2 - Véhicule,0 - Aucun
2005,200500000342,A01,2 - Véhicule,0 - Aucun
2005,200500000392,C03,2 - Véhicule,0 - Aucun
2005,200500000524,B02,2 - Véhicule,0 - Aucun
2005,200500000543,A01,9 - Autre,0 - Aucun
2005,200500000549,A01,2 - Véhicule,0 - Aucun
2005,200500000658,B02,2 - Véhicule,0 - Aucun
2005,200500000696,A01,1 - Piéton,0 - Aucun
2005,200500000815,B02,2 - Véhicule,0 - Aucun
2005,200500001016,A01,1 - Piéton,0 - Aucun
2005,200500001042,A01,1 - Piéton,0 - Aucun
2005,200500001366,A01,2 - Véhicule,0 - Aucun
2005,200500001429,A01,2 - Véhicule,0 - Aucun
2005,200500001608,A01,2 - Véhicule,0 - Aucun
2005,200500001637,A01,2 - Véhicule,0 - Aucun
2005,200500001650,A01,9 - Autre,0 - Aucun
2005,200500001788,A01,2 - Véhicule,0 - Aucun
2005,200500001788,B02,2 - Véhicule,0 - Aucun
2005,200500001810,A01,2 - Véhicule,0 - Aucun
2005,200500001880,A01,5 - Animal domestique,0 - Aucun
2005,200500001909,B02,9 - Autre,0 - Aucun
2005,200500001930,A01,2 - Véhicule,0 - Aucun
2005,200500002074,B01,2 - Véhicule,0 - Aucun
2005,200500002106,A01,2 - Véhicule,0 - Aucun
2005,200500002190,B01,2 - Véhicule,0 - Aucun
2005,200500002197,A01,1 - Piéton,0 - Aucun
2005,200500002219,B01,2 - Véhicule,0 - Aucun
2005,200500002221,A01,1 - Piéton,0 - Aucun
2005,200500002265,A01,2 - Véhicule,0 - Aucun
2005,200500002291,B01,2 - Véhicule,0 - Aucun
2005,200500002354,A01,1 - Piéton,0 - Aucun
2005,200500002359,A01,2 - Véhicule,0 - Aucun
2005,200500002359,B01,2 - Véhicule,0 - Aucun
2005,200500002360,A01,1 - Piéton,0 - Aucun
2005,200500002420,B01,2 - Véhicule,0 - Aucun
2005,200500002427,B01,2 - Véhicule,0 - Aucun
2005,200500002438,A01,2 - Véhicule,0 - Aucun
2005,200500002438,B01,2 - Véhicule,0 - Aucun
2005,200500002452,A01,2 - Véhicule,0 - Aucun
2005,200500002452,B01,2 - Véhicule,0 - Aucun
2005,200500002455,A01,1 - Piéton,0 - Aucun
2005,200500002457,A01,2 - Véhicule,0 - Aucun
2005,200500002459,A01,1 - Piéton,0 - Aucun
2005,200500002470,A01,1 - Piéton,0 - Aucun
2005,200500002483,A01,2 - Véhicule,0 - Aucun
2005,200500002497,A01,2 - Véhicule,0 - Aucun
2005,200500002511,A01,1 - Piéton,0 - Aucun
2005,200500002518,B01,2 - Véhicule,0 - Aucun
2005,200500002534,A01,1 - Piéton,0 - Aucun
2005,200500002539,B01,2 - Véhicule,0 - Aucun
2005,200500002558,A01,1 - Piéton,0 - Aucun
2005,200500002559,B01,2 - Véhicule,0 - Aucun
2005,200500002566,A01,2 - Véhicule,0 - Aucun
2005,200500002574,A01,2 - Véhicule,0 - Aucun
2005,200500002576,A01,2 - Véhicule,0 - Aucun
2005,200500002576,B01,2 - Véhicule,0 - Aucun
2005,200500002590,B01,2 - Véhicule,0 - Aucun
2005,200500002592,A01,1 - Piéton,0 - Aucun
2005,200500002593,C01,2 - Véhicule,0 - Aucun
2005,200500002606,A01,2 - Véhicule,0 - Aucun
2005,200500002606,B01,2 - Véhicule,0 - Aucun
2005,200500002612,A01,2 - Véhicule,0 - Aucun
2005,200500002614,A01,2 - Véhicule,0 - Aucun
2005,200500002614,B01,2 - Véhicule,0 - Aucun
2005,200500002649,A01,1 - Piéton,0 - Aucun
2005,200500002668,B01,2 - Véhicule,0 - Aucun
2005,200500002690,A01,1 - Piéton,0 - Aucun
2005,200500002718,A01,1 - Piéton,0 - Aucun
2005,200500002781,A01,1 - Piéton,0 - Aucun
2005,200500002784,A01,1 - Piéton,0 - Aucun
2005,200500002857,A01,1 - Piéton,0 - Aucun
2005,200500002925,A01,1 - Piéton,0 - Aucun
2005,200500002971,B01,2 - Véhicule,0 - Aucun
2005,200500002981,B01,2 - Véhicule,0 - Aucun
2005,200500003004,A01,1 - Piéton,0 - Aucun
2005,200500003013,A01,1 - Piéton,0 - Aucun
2005,200500003024,B01,2 - Véhicule,0 - Aucun
2005,200500003036,B01,2 - Véhicule,0 - Aucun
2005,200500003049,B01,2 - Véhicule,0 - Aucun
2005,200500003053,A01,1 - Piéton,0 - Aucun
2005,200500003069,A01,2 - Véhicule,0 - Aucun
2005,200500003074,A01,2 - Véhicule,0 - Aucun
2005,200500003107,A01,1 - Piéton,0 - Aucun
